codigo,cidade,prefeito,gentilico,area_territorial,populacao_estimada,densidade_demografica,escolarizacao,idhm,mortalidade_infantil,receitas_realizadas,despesas_empenhadas,pib
2300101,Abaiara,AFONSO TAVARES LEITE,abaiarense,180.833,11965,58.69,96.7,0.628,19.87,29043.96,26827.9,9158.04
2300150,Acarape,FRANCISCO EDILBERTO BESERRA BARROSO,acarapense,130.002,15140,98.52,96.8,0.606,5.35,38762.54,36800.47,10317.47
2300200,Acaraú,ANA FLÁVIA RIBEIRO MONTEIRO,acarauense,842.471,63556,68.31,96.8,0.601,5.92,132656.39,109899.3,13261.89
2300309,Acopiara,ANTÔNIO ALMEIDA NETO,acopiarense,2254.279,54687,22.58,97.2,0.595,20.18,153148.71,125356.17,9432.25
2300408,Aiuaba,RAMILSON ARAUJO MORAES,aiuabense,2438.563,17584,6.66,97.5,0.569,15.08,37794.63,33776.93,8642.9
2300507,Alcântaras,JOAQUIM FREIRE CARVALHO,alcantarense,135.76,11846,77.71,97.7,0.6,,28047.78,28990.82,7674.08
2300606,Altaneira,FRANCISCO DARIOMAR RODRIGUES SOARES,altaneirense,72.675,7712,93.54,95.7,0.602,9.43,31688.03,24034.71,8560.21
2300705,Alto Santo,JOSE JOENI HOLANDA DE ARAUJO,alto-santense,1147.208,16077,12.22,96.5,0.601,12.12,40704.75,35934.27,11725.03
2300754,Amontada,FLAVIO CESAR BRUNO TEIXEIRA FILHO,amontadense,1175.044,44195,33.27,97.0,0.606,8.72,104596.02,100940.3,12195.24
2300804,Antonina do Norte,ANTONIO ROSENO FILHO,antonino ou antoninense,259.706,7402,26.85,95.7,0.599,11.11,21091.6,19508.59,9279.79
2300903,Apuiarés,IRIS MARIA CRUZ DE LIMA,apuiareense,543.98,14742,25.54,98.6,0.618,,43151.17,36822.04,7642.48
2301000,Aquiraz,BRUNO BARROS GONÇALVES,aquirazense,480.236,81581,150.5,96.5,0.641,14.23,244006.62,197501.4,42147.15
2301109,Aracati,BISMARCK COSTA LIMA PINHEIRO MAIA,aracatiense,1227.197,75392,56.32,98.5,0.655,9.33,227561.34,185621.26,19713.63
2301208,Aracoiaba,THIAGO CAMPELO NOGUEIRA,aracoiabense,643.988,26600,38.67,96.5,0.615,8.7,66969.9,70353.86,9885.68
2301257,Ararendá,ALEXANDRE FELIX DUTRA,ararendaense,342.301,10983,30.49,98.9,0.59,7.04,30233.22,28244.06,8097.17
2301307,Araripe,CICERO FERREIRA DA SILVA,araripense,1097.339,21707,18.81,96.3,0.564,12.01,69217.32,59671.85,8762.18
2301406,Aratuba,JOERLY RODRIGUES VICTOR,aratubano,119.758,11759,100.44,97.0,0.622,13.51,49123.73,31633.96,13301.76
2301505,Arneiroz,ANTÔNIO MONTEIRO PEDROSA FILHO,arneirozense,1068.437,7848,7.17,97.6,0.618,32.61,11.51,20466.42,8467.35
2301604,Assaré,JOSE LIBORIO LEITE NETO,assareense,1155.124,23537,20.11,96.6,0.6,11.07,52234.57,42903.25,11597.22
2301703,Aurora,MARCONE TAVARES DE LUNA,aurorense,885.87,24567,27.73,97.9,0.605,9.12,52517.28,46765.07,8649.66
2301802,Baixio,JOSÉ HUMBERTO MOURA RAMALHO,baixiense,145.556,6318,41.15,97.9,0.627,,23630.69,21367.09,10232.14
2301851,Banabuiú,FRANCISCO HERMES NOBRE,banabuiense,1080.986,18313,16.03,98.0,0.606,8.13,46068.9,42192.56,11453.61
2301901,Barbalha,GUILHERME SAMPAIO SARAIVA,barbalhense,608.158,61662,97.14,98.3,0.683,6.26,243774.86,227251.72,19552.45
2301950,Barreira,ANTONIO ALAILSON OLIVEIRA SALDANHA,barreirense,260.003,22715,79.63,97.8,0.616,25.28,49562.61,44585.47,9089.71
